,Title,Company Name,Location,Start Date,Duration,Stipend,Status,Links
0,Business Development (Sales),GuidedSuccessAcademy,[['Dehradun']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month",3 weeks ago,https://internshala.com/internship/detail/business-development-sales-internship-in-dehradun-at-guidedsuccessacademy1707484512
1,Front Desk Executive,Reachlovenheal Private Limited,[['Pune']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month",3 weeks ago,https://internshala.com/internship/detail/front-desk-executive-internship-in-pune-at-reachlovenheal-private-limited1707824852
2,Graphic Design,Ep.Log Media,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 5,000-10,000 /month",3 weeks ago,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-eplog-media1707887094
3,Stock Market Management,Growthclues,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 1,000-4,000 /month",3 weeks ago,https://internshala.com/internship/detail/work-from-home-part-time-stock-market-management-internship-at-growthclues1707241144
4,Graphic Design,Fay Wear Private Limited,[['Gurgaon']],Immediately,Starts immediatelyImmediately,"₹ 10,000 /month",3 weeks ago,https://internshala.com/internship/detail/graphic-design-internship-in-gurgaon-at-fay-wear-private-limited1707713960
5,Graphic Design,Never Grow Up,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 10,000 /month",3 weeks ago,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-never-grow-up1707220158
6,Telecalling,Classpro,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 7,000 /month",3 weeks ago,https://internshala.com/internship/detail/work-from-home-telecalling-internship-at-classpro1707463060
7,Flutter Development,Kartavya Technology,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 10,000 /month",3 weeks ago,https://internshala.com/internship/detail/work-from-home-part-time-flutter-development-internship-at-kartavya-technology1707217875
8,Social Entrepreneurship (Part Time/Remote),Hamari Pahchan NGO,[['Work From Home']],Immediately,Starts immediatelyImmediately,10% of Revenue Generated,3 weeks ago,https://internshala.com/internship/detail/work-from-home-part-time-social-entrepreneurship-part-time-remote-internship-at-hamari-pahchan-ngo1707132116
9,WordPress Development,Minus Equals Plus,"[['Vagator', 'Panjim', 'Mapusa', 'Goa Velha', 'Anjuna']]",Immediately,Starts immediatelyImmediately,"₹ 3,000 /month",3 weeks ago,https://internshala.com/internship/detail/wordpress-development-internship-in-multiple-locations-at-minus-equals-plus1708185140
10,Digital Marketing/Sales,Colortext Digital Solutions Private Limited,"[['Bangalore', 'Gurgaon']]",Immediately,Starts immediatelyImmediately,"₹ 5,000-10,000 /month",3 weeks ago,https://internshala.com/internship/detail/part-time-digital-marketing-sales-internship-in-multiple-locations-at-colortext-digital-solutions-private-limited1708183672
11,Social Work,Marpu Foundation,[['Work From Home']],Immediately,Starts immediatelyImmediately,Unpaid,3 weeks ago,https://internshala.com/internship/detail/work-from-home-social-work-internship-at-marpu-foundation1708181326
12,Graphic Design,QuadB Tech,[['Ludhiana']],Immediately,Starts immediatelyImmediately,"₹ 10,000-20,000 /month",3 weeks ago,https://internshala.com/internship/detail/graphic-design-internship-in-ludhiana-at-quadb-tech1708166298
13,Field Sales,Bonanza Portfolio Limited,[['Kalyan']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month +  Incentives",3 weeks ago,https://internshala.com/internship/detail/field-sales-internship-in-kalyan-at-bonanza-portfolio-limited1708168051
14,Companion For Elders,Companion Technologies Private Limited,[['Chennai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",3 weeks ago,https://internshala.com/internship/detail/companion-for-elders-internship-in-chennai-at-companion-technologies-private-limited1707914003
15,Videography,SuperTails,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",3 weeks ago,https://internshala.com/internship/detail/videography-internship-in-bangalore-at-supertails1708171436
