title,company,location,role,skills,link,duration,stipend,mode,source
Data Engineer 2,Cook Medical,"Bloomington, IN",Data Engineer 2,"Azure, SQL, NoSQL, SQL Server, Oracle, MongoDB, Data pipelines, Data integration tools, Objectoriented/object function scripting languages",https://www.linkedin.com/jobs/view/data-engineer-2-at-cook-medical-3526207414,Onsite,,,LinkedIn
Staff Data Engineer,Recruiting from Scratch,"Bloomington, IN",Staff Data Engineer,"Python, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, pySpark, SQL, TDD, Pair Programming, Continuous Integration, automated testing, Kafka, Storm, SparkStreaming, dimensional data modeling, ETL, data management, data classification",https://www.linkedin.com/jobs/view/staff-data-engineer-at-recruiting-from-scratch-3744389892,Onsite,,,LinkedIn
"Senior Data Engineer, Public Company",Recruiting from Scratch,"Bloomington, IN","Senior Data Engineer, Public Company","Python, SQL, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, pySpark, Kafka, Storm, ETL, TDD, Pair programming, Continuous integration, Software testing, Deployment, Streamprocessing systems, Data modeling, Schema design, Data warehouses, Dimensional data modeling, Legal compliance, Data management",https://www.linkedin.com/jobs/view/senior-data-engineer-public-company-at-recruiting-from-scratch-3748828472,Onsite,,,LinkedIn
"Senior Systems Engineer, Azure Data Platform",Cook Medical,"Bloomington, IN","Senior Systems Engineer, Azure Data Platform",,https://www.linkedin.com/jobs/view/senior-systems-engineer-azure-data-platform-at-cook-medical-3775650947,Hybrid,,,LinkedIn
Senior Staff AI Data Engineer,Recruiting from Scratch,"Bloomington, IN",Senior Staff AI Data Engineer,"Data Engineering, ML Data Ops, Data Mining, Data Cleaning, Data Normalization, Data Modeling, Data Enrichment, Data Monitoring, Data Platforms, Data Frameworks, Big Data Technologies, Data Pipelines, Machine Learning, Natural Language Processing, Large Language Models, Python, Java, Bash, SQL, Git, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, PySpark, AWS, GCP, Azure, NoSQL, ETL, Kafka, Storm, SparkStreaming, Applied Machine Learning, Data Management Tools, Data Classification, Data Retention, GenderAffirming Offerings, HR, Health, Dental, Vision",https://www.linkedin.com/jobs/view/senior-staff-ai-data-engineer-at-recruiting-from-scratch-3759712024,Hybrid,,,LinkedIn
Data Scientist - National Defense/Python/SQL/AWS/MLOps/Clearances,Motion Recruitment,"Laughlin AFB, TX",Data Scientist - National Defense/Python/SQL/AWS/MLOps/Clearances,"Data Science, Numerical Methods, Simulations, Python, Pandas, Numpy, Scipy, Scikit Learn, SQL, MySQL, Cloud Computing, AWS, LargeScale Data Processing, Batch Processing Pipelines, HPC, Government Clearance, HandsOn Work, Team Collaboration, Bonus Eligibility, Full Medical Dental Vision Coverage, 401k Matching Program, PTO, Holidays, Bonus and Incentive Programs, Mental Health Program, Flexible Spending Accounts",https://www.linkedin.com/jobs/view/data-scientist-national-defense-python-sql-aws-mlops-clearances-at-motion-recruitment-3732144864,Hybrid,,,LinkedIn
Python Data Engineer,Kforce Inc,"Merrimack, NH",Python Data Engineer,,https://www.linkedin.com/jobs/view/python-data-engineer-at-kforce-inc-3773539932,Onsite,,,LinkedIn
Senior Health Data Migration Engineer Remote,Steneral Consulting,United States,Senior Health Data Migration Engineer Remote,,https://www.linkedin.com/jobs/view/senior-health-data-migration-engineer-remote-at-steneral-consulting-3642379153,Remote,,,LinkedIn
Senior ETL Data Quality Engineer,Wise Skulls,United States,Senior ETL Data Quality Engineer,"ETL, SQL, PostgreSQL, Cloud, Snowflake, AWS, Python, Java, CI/CD, API",https://www.linkedin.com/jobs/view/senior-etl-data-quality-engineer-at-wise-skulls-3748439902,Remote,,,LinkedIn
"Senior Engineer, Data",Ensemble Health Partners,United States,"Senior Engineer, Data","SQL, Databricks, Apache Spark, Python, Azure Functions, Azure Data Bricks, MS SQL, Azure Service Bus, Azure Data Factory, Azure Dataflows, DevOps, Delta tables, AWS, Parquet files, Healthcare",https://www.linkedin.com/jobs/view/senior-engineer-data-at-ensemble-health-partners-3780820485,Remote,,,LinkedIn
Senior Data Engineer,Attune,"New York, NY",Senior Data Engineer,"Python, Pandas, PostgreSQL, Bash, AWS EC2, S3, SQL, Git, GitLab, Github, Linux, CLI, Shell programming, CI/CD",https://www.linkedin.com/jobs/view/senior-data-engineer-at-attune-3711772375,Remote,,,LinkedIn
Sr. Data Software Engineer,Steneral Consulting,United States,Sr. Data Software Engineer,"SQL, Azure, Data Factory, DBT, ETL, Data structures, Algorithms, Async programming, Objectoriented design, Parallel programming, .NET, Java, Angular, Git, Cloudbased systems, Big data design, Data normalization, Queuing technologies, Metrics, Logging, Monitoring, Alerting, RESTful APIs, HL7 V2.x / FHIR, CI/CD Pipeline, K8s, Terraform, Electronic Health Records",https://www.linkedin.com/jobs/view/sr-data-software-engineer-at-steneral-consulting-3733275905,Remote,,,LinkedIn
Data Analyst || Remote,Steneral Consulting,United States,Data Analyst || Remote,"Data Analysis, Data Modeling, Google Cloud Storage, Google BigQuery, Google Looker (LookML), Power BI (DAX), ANSI SQL, Relational Databases, Reporting & Visualization Technologies, Business Intelligence Tools, Data Visualization, Data Warehousing, Data Cleaning, Data Validation, Project Management, Office 365 (Word PowerPoint Excel), Business Requirements Gathering, Brainstorming, Problem Solving, Communication, Collaboration, Teamwork",https://www.linkedin.com/jobs/view/data-analyst-remote-at-steneral-consulting-3673756434,Remote,,,LinkedIn
"Job Opportunity :: Sr. Data Engineer :: 12 Months Contract to hire :: Fully Remote (Hybrid to Houston, TX)",Steneral Consulting,United States,"Job Opportunity :: Sr. Data Engineer :: 12 Months Contract to hire :: Fully Remote (Hybrid to Houston, TX)","PL/SQL, Oracle 19, Airflow, Git, Python, REST API, Accounting, Financial data",https://www.linkedin.com/jobs/view/job-opportunity-sr-data-engineer-12-months-contract-to-hire-fully-remote-hybrid-to-houston-tx-at-steneral-consulting-3718993789,Remote,,,LinkedIn
Data Integration Developer,Steneral Consulting,United States,Data Integration Developer,"Oracle, PL/SQL, Azure, NoSQL, .Net Framework, Data integration, Data mapping, Data warehousing, Data architecture, ERD, Data recovery, C#, APIs, Windows Service, ORM, TDD, Windows scripting, Azure Synapse, ADLS Gen 2, Azure ADF, Azure NoSQL Database, ObjectOriented architecture, ServiceOriented architecture, SQL, ANSI SQL, Data modeling, Data analysis",https://www.linkedin.com/jobs/view/data-integration-developer-at-steneral-consulting-3680019522,Remote,,,LinkedIn
Lead Azure Data Engineer,"Donato Technologies, Inc.",United States,Lead Azure Data Engineer,"Azure Cloud, SQL, TSQL, Data Warehouse, Azure Data Lake, Azure Data Factory, Azure Databricks, Azure Synapse, Enterprise Data Modelling, Azure SQL Data Warehouse (Synapse), ADF, ADLS, Data Migration, Data Processing, Schema Design, Dimensional Data Modelling, Data Warehouse Best Practices, Data Integration, Databricks, ML Studio, AI/ML, MLOps, Event Hub, IOT Hub, Azure Stream Analytics, Azure Analysis Service, Cosmo Db, SAP Hana, Power BI, DevOps, CI/CD Deployments, Cloud Migration Methodologies, Cloud Migration Processes",https://www.linkedin.com/jobs/view/lead-azure-data-engineer-at-donato-technologies-inc-3707657523,Remote,,,LinkedIn
Data Engineer - Lead,Steneral Consulting,United States,Data Engineer - Lead,"PySpark, Azure Databricks, Azure Data Factory, ETL, Azure Cloud, Python, Data Lakehouse, Agile, DevOps, Azure Storage, Azure Cosmos DB, Azure Stream Analytics, Structured Data, Unstructured Data",https://www.linkedin.com/jobs/view/data-engineer-lead-at-steneral-consulting-3750175286,Remote,,,LinkedIn
Sr Data Engineer,Wise Skulls,United States,Sr Data Engineer,,https://www.linkedin.com/jobs/view/sr-data-engineer-at-wise-skulls-3642856402,Remote,,,LinkedIn
Urgent Role - Senior Data Engineer || Remote,Steneral Consulting,United States,Urgent Role - Senior Data Engineer || Remote,"Data Engineering, ETL Development, Data Storage Structures, Data Processing Pipelines, Data Extraction, Data Transformation, Data Loading, SQL, Informatica ETL, Informatica MDM, Informatica IDQ/CDQ, Snowflake, Python, Spark, Batch Processing, OLTP, OLAP, Data Warehouse Architecture",https://www.linkedin.com/jobs/view/urgent-role-senior-data-engineer-remote-at-steneral-consulting-3696912005,Remote,,,LinkedIn
